Name,Version Count
cryptonite-conduit,4
cryptonite-openssl,7
crypto-numbers,12
crypto-pubkey,14
crypto-pubkey-openssh,10
crypto-pubkey-types,13
crypto-random,9
crypto-random-api,2
crypt-sha512,1
csp,4
css-syntax,8
css-text,9
csv,3
ctrie,6
cubicbezier,13
cubicspline,3
cublas,9
cuckoo-filter,5
cuda,39
cue-sheet,6
cufft,12
curl,11
currencies,5
currency,2
cusparse,3
cutter,1
cyclotomic,14
czipwith,4
data-accessor,26
data-accessor-mtl,5
data-accessor-template,22
data-accessor-transformers,9
data-binary-ieee754,8
data-bword,2
data-checked,3
data-clist,17
data-default,12
data-default-class,4
data-default-instances-containers,1
data-default-instances-dlist,1
data-default-instances-old-locale,1
data-diverse,35
data-diverse-lens,24
datadog,6
data-dword,9
data-endian,3
data-fix,7
data-has,4
data-inttrie,12
data-lens-light,7
data-memocombinators,11
data-msgpack,12
data-msgpack-types,3
data-or,3
data-ordlist,13
data-ref,6
data-reify,7
data-serializer,7
datasets,13
data-textual,6
data-tree-print,3
dataurl,1
DAV,30
dbcleaner,4
DBFunctor,3
dbus,34
debian-build,29
debug,5
debug-trace-var,2
dec,1
decidable,11
Decimal,9
declarative,11
deepseq,16
deepseq-generics,5
deferred-folds,45
dejafu,69
dense-linear-algebra,1
dependent-map,11
dependent-sum,15
dependent-sum-template,6
deque,21
deriveJsonNoPrefix,2
deriving-compat,25
derulo,11
detour-via-sci,1
dhall,47
dhall-bash,28
dhall-json,31
diagrams,25
diagrams-contrib,47
diagrams-core,39
diagrams-lib,60
diagrams-postscript,33
diagrams-rasterific,24
diagrams-solve,3
diagrams-svg,48
di-core,5
dictionary-sharing,1
Diff,11
digest,12
digits,4
dimensional,29
di-monad,7
directory,42
directory-tree,12
direct-sqlite,32
discount,2
disk-free-space,2
distributed-closure,14
distribution-nixpkgs,7
distribution-opensuse,3
distributive,25
dl-fedora,6
dlist,22
dlist-instances,3
dlist-nonempty,2
dns,49
dockerfile,3
docopt,9
doctemplates,18
doctest,51
doctest-discover,12
doctest-driver-gen,11
doldol,4
do-list,6
dom-parser,7
do-notation,3
dotenv,41
dotgen,7
dotnet-timespan,1
double-conversion,9
download,13
drinkery,7
dsp,9
dual,7
dual-tree,20
dublincore-xml-conduit,4
dunai,11
dunai-core,1
duration,1
dvorak,1
dynamic-state,12
dyre,21
eap,7
Earley,18
easy-file,5
easytest,5
Ebnf2ps,8
echo,4
ecstasy,8
ed25519,5
edit-distance,9
edit-distance-vector,5
editor-open,11
either,42
either-both,3
ekg,29
ekg-core,12
ekg-json,7
ekg-statsd,11
elerea,24
elf,11
eliminators,8
elm2nix,4
elm-bridge,14
elm-core-sources,1
elm-export,13
emacs-module,2
email-validate,37
emd,17
enclosed-exceptions,7
ENIG,2
entropy,25
enummapset,8
enumset,7
enum-subset-generate,1
enum-text,3
enum-text-rio,2
envelope,5
envy,19
epub-metadata,17
eq,28
equal-files,9
erf,3
errors,28
errors-ext,9
error-util,2
ersatz,21
esqueleto,99
etc,13
eventful-core,5
eventful-memory,5
eventful-sql-common,5
eventful-sqlite,5
