Name,Version Count
quickcheck-assertions,4
quickcheck-classes,34
quickcheck-instances,26
quickcheck-io,6
quickcheck-simple,8
quickcheck-special,7
quickcheck-state-machine,11
quickcheck-text,5
quickcheck-transformer,2
quickcheck-unicode,3
radius,12
rainbow,36
rainbox,23
ramus,4
rando,4
random,9
random-bytestring,8
random-fu,22
random-shuffle,3
random-source,5
random-tree,1
range,11
Ranged-sets,6
range-set-list,13
rank1dynamic,10
rank2classes,16
Rasterific,30
rasterific-svg,20
ratel,26
ratel-wai,15
rattle,1
rattletrap,75
rawfilepath,7
rawstring-qm,9
raw-strings-qq,4
rcu,7
rdf,4
re2,3
readable,9
read-editor,3
read-env-var,3
reanimate,13
reanimate-svg,17
rebase,46
record-dot-preprocessor,9
record-hasfield,1
records-sop,4
recursion-schemes,41
reducers,32
refact,5
references,14
reflection,48
RefSerialize,18
regex,34
regex-applicative,17
regex-applicative-text,2
regex-base,11
regex-compat,8
regex-compat-tdfa,5
regex-pcre,11
regex-pcre-builtin,11
regex-pcre-text,2
regex-posix,18
regex-tdfa,26
regex-tdfa-text,4
regex-with-pcre,24
registry,36
reinterpret-cast,1
relapse,8
relational-query,94
relational-query-HDBC,42
relational-record,22
relational-schemas,23
relude,7
renderable,5
repa,42
repa-algorithms,23
repa-io,22
replace-attoparsec,5
replace-megaparsec,12
repline,10
req,15
req-conduit,4
require,9
rerebase,18
resistor-cube,8
resource-pool,13
resourcet,54
result,9
rethinkdb-client-driver,24
retry,28
rev-state,3
rfc1751,3
rfc5051,5
rg,3
rhine,13
rhine-gloss,7
rigel-viz,2
rio,23
rio-orphans,2
rio-prettyprint,1
roc-id,1
rocksdb-haskell,3
rocksdb-query,8
roles,1
rope-utf16-splay,3
rosezipper,2
rot13,6
rpmbuild-order,4
RSA,24
runmemo,2
rvar,4
s3-signer,5
safe,20
safecopy,38
safe-exceptions,8
safe-exceptions-checked,1
safe-foldable,1
safeio,5
safe-json,3
safe-money,12
SafeSemaphore,8
salak,39
salak-toml,18
salak-yaml,18
saltine,11
salve,17
sample-frame,3
sample-frame-np,7
sampling,6
sandman,4
say,2
sbp,63
sbv,92
scalpel,18
scalpel-core,4
scanf,1
scanner,4
scheduler,9
scientific,47
scotty,34
scrypt,13
sdl2,26
sdl2-gfx,1
sdl2-image,6
sdl2-mixer,2
sdl2-ttf,9
secp256k1-haskell,9
securemem,11
selda,33
selda-json,2
selda-postgresql,16
selda-sqlite,13
selective,4
semialign,2
semigroupoid-extras,19
semigroupoids,57
semigroups,62
semirings,20
semiring-simple,5
semver,11
sendfile,21
seqalign,6
serf,2
serialise,4
servant,41
servant-auth,11
servant-auth-docs,10
servant-auth-server,24
servant-auth-swagger,6
servant-auth-wordpress,2
servant-blaze,19
servant-cassava,11
servant-checked-exceptions,13
servant-checked-exceptions-core,3
servant-cli,3
servant-client,37
servant-client-core,8
servant-conduit,1
servant-docs,36
servant-elm,15
servant-foreign,18
servant-http-streams,3
servant-js,15
servant-JuicyPixels,8
servant-kotlin,14
servant-lucid,21
servant-machines,1
servant-mock,20
servant-multipart,8
servant-pipes,2
servant-rawm,7
servant-ruby,15
servant-server,41
servant-static-th,13
servant-swagger,21
servant-swagger-ui,14
servant-swagger-ui-core,4
servant-swagger-ui-redoc,4
servant-tracing,3
servant-xml,6
servant-yaml,2
serversession,2
serversession-frontend-wai,1
servius,19
ses-html,8
set-cover,12
setenv,5
setlocale,12
sexp-grammar,15
sexpr-parser,5
SHA,23
shake,100
shake-language-c,18
shakespeare,66
shared-memory,2
ShellCheck,21
shell-conduit,17
shell-escape,4
shellmet,4
shelltestrunner,20
shelly,133
shikensu,18
shortcut-links,8
should-not-typecheck,6
show-combinators,2
shower,4
show-prettyprint,13
siggy-chardust,1
signal,6
silently,16
simple,21
simple-cabal,4
simple-cmd,9
simple-cmd-args,7
simple-log,37
simple-reflect,6
simple-sendfile,39
simple-session,9
simple-templates,7
simple-vec3,18
simplistic-generics,1
since,1
singleton-bool,6
singleton-nats,14
singletons,30
siphash,4
size-based,3
sized-grid,7
skein,28
skews,4
skip-var,2
skylighting,51
skylighting-core,21
slack-web,13
smallcheck,19
smallcheck-series,8
smoothie,30
snap-blaze,10
snap-core,75
snap-server,91
snowflake,3
soap,27
soap-tls,5
socket-activation,3
socks,15
sop-core,2
sort,3
sorted-list,13
sourcemap,9
sox,17
soxlib,8
sparse-linear-algebra,29
spatial-math,24
special-values,1
speculate,19
speedy-slice,8
sphinx,26
Spintax,8
splice,12
split,22
splitmix,5
spoon,4
spreadsheet,14
sqlite-simple,31
sqlite-simple-errors,7
sql-words,15
srcloc,15
stache,22
stack,47
starter,4
state-codes,4
stateref,2
statestack,7
StateVar,11
static-text,6
statistics,58
stb-image-redux,11
step-function,7
stm,18
stm-chans,14
stm-conduit,38
stm-delay,3
stm-extras,5
stm-split,6
stopwatch,7
storable-complex,5
storable-record,11
storable-tuple,6
storablevector,28
store,26
store-core,10
Strafunski-StrategyLib,11
stratosphere,78
streaming,39
streaming-attoparsec,2
streaming-bytestring,22
streaming-cassava,2
streaming-commons,45
streaming-wai,2
streamly,15
streamproc,8
streams,33
strict,5
strict-base-types,10
strict-concurrency,9
strict-list,7
stringbuilder,6
string-class,7
string-combinators,11
string-conv,3
string-conversions,9
string-interpolate,4
string-qq,2
stringsearch,17
string-transform,8
stripe-concepts,3
stripe-scotty,1
stripe-signature,2
stripe-wreq,2
strive,35
structs,5
structured-cli,22
summoner,13
sum-type-boilerplate,2
sundown,20
superbuffer,5
sv,9
sv-cassava,3
sv-core,10
svg-builder,4
SVGFonts,25
svg-tree,24
swagger,5
swagger2,31
swish,64
syb,28
symbol,12
symengine,1
sysinfo,2
system-argv0,2
systemd,15
system-fileio,33
system-filepath,30
tabular,12
tagchup,10
tagged,34
tagged-binary,4
tagged-identity,4
tagged-transformer,17
tagshare,1
tagsoup,38
tagstream-conduit,16
tao,1
tao-example,1
tar,23
tar-conduit,12
tardis,3
tasty,58
tasty-ant-xml,24
tasty-dejafu,32
tasty-discover,19
tasty-expected-failure,8
tasty-golden,24
tasty-hedgehog,7
tasty-hspec,14
tasty-hunit,12
tasty-kat,3
tasty-leancheck,1
tasty-lua,6
tasty-program,5
tasty-quickcheck,18
tasty-silver,21
tasty-smallcheck,5
tasty-th,9
TCache,37
tce-conf,3
tcp-streams,12
tcp-streams-openssl,3
tdigest,4
template-haskell,17
template-toolkit,2
temporary,17
temporary-rc,1
temporary-resourcet,2
tensorflow-test,1
tensors,5
termbox,2
terminal-progress-bar,14
terminal-size,7
terminfo,27
test-framework,31
test-framework-hunit,11
test-framework-leancheck,1
test-framework-quickcheck2,22
test-framework-smallcheck,3
test-framework-th,7
testing-feat,11
testing-type-modifiers,2
texmath,98
text,71
text-binary,4
text-builder,25
text-conversions,3
text-format,14
text-icu,20
text-latin1,4
text-ldap,15
textlocal,6
text-manipulate,8
text-metrics,3
text-postgresql,7
text-printer,5
text-region,5
text-short,4
text-show,43
text-show-instances,28
text-zipper,19
tfp,13
tf-random,5
th-abstraction,20
th-data-compat,10
th-desugar,23
these,20
th-expand-syns,17
th-extras,3
th-lift,26
th-lift-instances,16
th-nowq,5
th-orphans,27
th-printf,11
thread-hierarchy,7
thread-local-storage,9
threads,19
threepenny-gui,31
th-reify-compat,6
th-reify-many,12
throttle-io-stream,2
throwable-exceptions,10
th-strict-compat,2
th-test-utils,2
th-utilities,10
thyme,25
tile,2
time,35
time-compat,7
timeit,3
timelens,2
time-lens,6
time-locale-compat,8
time-locale-vietnamese,2
time-manager,1
time-parsers,4
time-qq,3
timerep,8
timer-wheel,3
timezone-olson,9
timezone-series,12
tintin,18
tinylog,11
titlecase,6
tldr,17
tls,89
tls-debug,21
tls-session-manager,8
tmapchan,4
tmapmvar,5
tmp-postgres,90
token-bucket,2
tomland,14
tonalude,2
tonaparser,1
tonatona,3
tonatona-logger,1
tonatona-persistent-postgresql,2
tonatona-persistent-sqlite,2
tonatona-servant,4
torsor,1
tostring,4
TotalMap,2
tracing,10
transaction,5
transformers,31
transformers-base,12
transformers-bifunctors,1
transformers-compat,34
transformers-fix,1
traverse-with-class,10
tree-diff,6
tree-fun,1
trifecta,89
triplesec,7
trivial-constraint,7
true-name,7
tsv2csv,3
ttl-hashtables,11
ttrie,6
tuple,7
tuples-homogenous-h98,2
tuple-sop,5
tuple-th,6
turtle,46
TypeCompose,30
typed-process,11
type-errors,2
type-errors-pretty,2
type-fun,3
type-hint,1
type-level-integers,1
type-level-kv-list,2
type-level-numbers,7
typelits-witnesses,15
type-map,7
typenums,6
type-of-html,30
type-of-html-static,2
type-operators,5
typerep-map,6
type-spec,5
tz,20
tzdata,15
ua-parser,12
ucam-webauth,1
ucam-webauth-types,1
uglymemo,2
unagi-chan,14
unbounded-delays,12
unbound-generics,15
unboxed-ref,5
unboxing-vector,2
uncertain,3
unconstrained,3
unicode,3
unicode-show,5
unicode-transforms,10
unification-fd,8
union,5
union-find,2
uniplate,23
uniprot-kb,6
uniq-deep,3
unique,1
unique-logic,3
unique-logic-tf,9
unit-constraint,1
universe,15
universe-base,6
universe-dependent-sum,3
universe-instances-base,2
universe-instances-extended,4
universe-instances-trans,3
universe-reverse-instances,2
universum,37
unix,21
unix-bytestring,12
unix-compat,27
unix-time,36
unliftio,17
unliftio-core,5
unliftio-pool,4
unliftio-streams,2
unlit,11
unordered-containers,30
unordered-intmap,2
unsafe,1
uri-bytestring,31
uri-bytestring-aeson,8
uri-encode,5
uri-templater,6
url,6
urlpath,43
users,5
users-postgresql-simple,8
users-test,6
utf8-light,7
utf8-string,15
util,22
utility-ht,16
uuid,36
uuid-types,4
validation,21
validity,23
validity-aeson,6
validity-bytestring,9
validity-containers,11
validity-path,9
validity-scientific,6
validity-text,11
validity-time,8
validity-unordered-containers,6
validity-uuid,5
validity-vector,6
valor,2
vault,17
vec,6
vector,38
vector-algorithms,28
vector-binary-instances,17
vector-buffer,8
vector-builder,16
vector-bytes-instances,2
vector-instances,20
vector-mmap,3
vector-sized,22
vector-space,47
vector-split,2
vector-th-unbox,15
verbosity,7
versions,25
ViennaRNAParser,15
viewprof,33
vinyl,29
vivid,18
vivid-osc,3
vivid-supercollider,4
void,26
vty,96
wai,53
wai-app-static,69
wai-cli,4
wai-conduit,5
wai-cors,13
wai-enforce-https,3
wai-eventsource,18
wai-extra,152
wai-handler-launch,36
wai-logger,35
wai-middleware-auth,8
wai-middleware-caching,3
wai-middleware-crowd,9
wai-middleware-static,24
wai-middleware-throttle,10
wai-middleware-travisci,1
wai-predicates,19
wai-session,7
wai-session-postgresql,13
wai-slack-middleware,2
wai-transformers,10
wai-websockets,34
warp,183
warp-tls,68
warp-tls-uid,11
wave,7
wcwidth,3
web3,25
webdriver,45
webex-teams-api,1
webex-teams-conduit,1
webex-teams-pipes,1
web-routes,27
web-routes-hsp,16
web-routes-wai,16
webrtc-vad,4
websockets,80
websockets-snap,25
weeder,23
weigh,18
wide-word,11
wikicfp-scraper,12
wild-bind,12
wild-bind-x11,17
Win32,30
Win32-notify,6
windns,2
winery,14
wire-streams,3
with-location,2
witness,5
wizards,5
wl-pprint-annotated,7
wl-pprint-console,6
wl-pprint-text,10
word24,13
word8,9
wordpress-auth,1
word-trie,7
word-wrap,10
world-peace,3
wrap,1
wreq,15
writer-cps-exceptions,2
writer-cps-mtl,10
writer-cps-transformers,11
ws,5
wuss,20
X11,25
X11-xft,4
x11-xim,9
x509,29
x509-store,14
x509-system,15
x509-validation,23
Xauth,1
xdg-basedir,4
xdg-userdirs,3
xeno,12
xenstore,2
xhtml,14
xls,3
xlsx,30
xlsx-tabular,11
xml,14
xml-basic,9
xmlbf,9
xmlbf-xeno,3
xml-conduit,75
xml-conduit-parse,7
xml-conduit-writer,4
xmlgen,9
xml-hamlet,27
xml-html-qq,2
xml-indexed-cursor,2
xml-isogen,4
xml-lens,11
xml-picklers,11
xml-to-json,7
xml-to-json-fast,3
xml-types,13
xmonad,23
xmonad-contrib,19
xmonad-extras,21
xss-sanitize,27
xxhash-ffi,4
yaml,115
yeshql,18
yeshql-core,3
yeshql-hdbc,3
yesod,123
yesod-alerts,4
yesod-auth,144
yesod-auth-hashdb,25
yesod-auth-oauth2,41
yesod-bin,124
yesod-core,194
yesod-csp,7
yesod-eventsource,12
yesod-fb,18
yesod-form,103
yesod-form-bootstrap4,11
yesod-gitrepo,5
yesod-gitrev,3
yesod-newsfeed,22
yesod-paginator,18
yesod-persistent,34
yesod-recaptcha2,9
yesod-sitemap,14
yesod-static,55
yesod-test,72
yesod-text-markdown,10
yesod-websockets,16
yes-precure5-command,6
yi-language,29
yi-rope,22
yjtools,21
yoga,5
youtube,5
zero,7
zeromq4-haskell,19
zeromq4-patterns,4
zim-parser,3
zip,19
zip-archive,48
zippers,7
zip-stream,4
zlib,23
zlib-bindings,14
zlib-lens,6
zot,3
zstd,2
ztail,7
