package,score
ghc-prim,23.76583774787877
base,20.701146621483467
deepseq,3.0261233947717474
array,2.782029726015221
bytestring,2.7148593539509904
transformers,2.0227890218837827
text,1.488483726646826
containers,1.4600217775604245
integer-gmp,1.0414004497195033
time,0.8281000019595343
mtl,0.7584855734666363
template-haskell,0.7484310394440573
vector,0.52945451872298
binary,0.5181078891501396
filepath,0.46288109618847056
hashable,0.4564014829768022
unix,0.44473831658820523
directory,0.3718268508919385
primitive,0.3716876431360903
pretty,0.36448857526236633
aeson,0.33183739533788537
stm,0.3184016609331385
unordered-containers,0.31033093003082324
ghc-boot-th,0.26915563710482077
semigroups,0.268758745871826
attoparsec,0.25788713682991354
exceptions,0.22828484187170675
QuickCheck,0.22634762638527592
transformers-compat,0.21828818399237598
random,0.21769452481738574
tagged,0.21346786855339256
process,0.20002369325159078
parsec,0.1922901271242702
network,0.17420726436614678
lens,0.16695549555142647
scientific,0.15807606715379552
base-orphans,0.1363412345001056
async,0.12914109786385702
conduit,0.12213616836950586
http-types,0.11392232824169046
ansi-terminal,0.1137946195649259
base-compat,0.11307848057023479
data-default-class,0.11136524887722143
transformers-base,0.11107129934721624
utility-ht,0.11103968641869208
semigroupoids,0.10214959744628462
resourcet,0.1003571917829177
cereal,0.10010320203642141
case-insensitive,0.10001586759650175
memory,0.09491834653520055
optparse-applicative,0.09412611075018171
utf8-string,0.09067583924779819
profunctors,0.08976283123540221
monad-control,0.08928599059544635
unliftio-core,0.0881395591582307
comonad,0.08759701761185784
blaze-builder,0.08666802147247184
data-default,0.0860842237861066
syb,0.0828201756790828
split,0.08043323198839834
contravariant,0.08036354486815514
dlist,0.08000078398716837
wai,0.07818917963820372
distributive,0.07756649731588093
bifunctors,0.07590329860824742
validity,0.07551407451399428
old-locale,0.07288847219177964
call-stack,0.07163861397600124
th-abstraction,0.0686245782866743
HUnit,0.06828628711923918
network-uri,0.06380150979434122
cryptonite,0.06378178619211833
base64-bytestring,0.06254896834212931
microlens,0.06201869762104921
http-client,0.06150964929430802
blaze-html,0.06101397109276955
servant,0.05984497174106183
prettyprinter,0.05916402222751494
colour,0.057648393675257495
basement,0.05728143024920985
pipes,0.05498378429137646
safe,0.05143900951768129
ghc,0.0507298003129126
blaze-markup,0.0506156114160134
free,0.050006665110016266
conduit-extra,0.04933917522569919
StateVar,0.048614485222872914
byteable,0.04837734823351995
safe-exceptions,0.047867276054507045
ansi-wl-pprint,0.04750062752993135
clock,0.04710869241679328
mmorph,0.04682053015753977
uuid-types,0.04618710950294149
hspec,0.04561991153215412
megaparsec,0.04347861087510286
Cabal,0.04301165490472668
splitmix,0.042654659522897924
tasty,0.042374949691165974
zlib,0.04181346308280705
storable-complex,0.0413838705398179
void,0.040759379918511134
postgresql-simple,0.04058537806901787
rio,0.04052385320216042
constraints,0.039741910650500145
unliftio,0.03973520692719406
regex-base,0.03947850439659229
MonadRandom,0.03902880479783258
extensible-exceptions,0.03864663707694708
base-prelude,0.03842422904465308
genvalidity,0.0383273052914592
hourglass,0.03810030146710587
netlib-ffi,0.03776398992165925
yaml,0.037642663115516256
http-client-tls,0.0373365258761113
mono-traversable,0.03657221446553011
asn1-types,0.036118108217760306
entropy,0.03596640157102662
hspec-core,0.034793599660753585
hspec-expectations,0.034760739712034354
xml-conduit,0.03463947603666785
haskell-src-exts,0.03441351836435173
persistent,0.034068968490213916
hw-prim,0.03399326978263443
monad-logger,0.03395156678146615
explicit-exception,0.033930233544027966
pretty-show,0.033691437753115505
temporary,0.033593185061224586
hmatrix,0.03334168847213063
old-time,0.03316956634036287
atomic-primops,0.032961205143089485
JuicyPixels,0.032860379230142615
universe-base,0.03272215675404369
http-media,0.03260589768703245
resource-pool,0.03251406271714073
base16-bytestring,0.032423341606985276
warp,0.03227673525612786
linear,0.03194101460139362
time-compat,0.031930201835920595
mwc-random,0.03191018521854973
yesod-core,0.0317953813879175
http-api-data,0.03171304528804071
extra,0.031629688541733036
generics-sop,0.031544583891776466
unix-compat,0.031494259375151594
haskell-src-meta,0.031283683483068016
securemem,0.03116360428972568
data-accessor,0.031104197292842545
storable-record,0.03076806373846004
singletons,0.030692147789523016
bindings-DSL,0.030485937153907027
vault,0.03038408562803951
parallel,0.030193659120310464
http-conduit,0.030011035709673537
uuid,0.029978462392225513
path,0.029482947112957077
leancheck,0.029311893494489448
asn1-encoding,0.029166972480730517
lifted-base,0.02903571993021623
adjunctions,0.02875306574958627
cmdargs,0.028631402037014277
streaming-commons,0.028592309208004627
integer-logarithms,0.02856851750727356
dependent-sum,0.028111416285889156
aeson-pretty,0.027830143384642913
haskell-gi-base,0.02761384770554404
kan-extensions,0.02738227664279256
tls,0.02735774310246913
data-default-instances-containers,0.02704467614684981
data-default-instances-dlist,0.02704467614684981
data-default-instances-old-locale,0.02704467614684981
x509,0.026915099507000682
test-framework,0.026677499992074454
io-streams,0.026599190388629717
tonaparser,0.026367861796718683
regex-tdfa,0.026313908621409147
cassava,0.026053944835139158
crypto-cipher-types,0.025991842770931774
regex-posix,0.025710044610178288
cookie,0.025650975255427193
cuda,0.02548419220825622
X11,0.02547771177504038
uniplate,0.025425765426754118
haskell-gi,0.025314641752771126
haskell-gi-overloading,0.025314641752771126
hspec-discover,0.025292681172062296
xml-types,0.02526286329828224
th-lift,0.0251265074328539
protolude,0.025060852266198825
reflection,0.024779476612049215
Only,0.024768387851672676
hw-bits,0.024713438748913803
