package,score
ghc-prim,19.229927485890176
base,16.79643858852916
bytestring,2.4168364045914905
deepseq,2.408470111558886
array,2.3173421701740504
transformers,1.787114405194941
text,1.2511962673509045
containers,1.2362435230391224
integer-gmp,0.8862756518157455
mtl,0.858219333872954
time,0.7337608069993194
template-haskell,0.5220618366803941
binary,0.43716458711121764
filepath,0.4223218799350414
unix,0.40801712331041756
pretty,0.36560626775649474
vector,0.3623691737743278
directory,0.35443000775940514
hashable,0.3441526128273013
amazonka-core,0.34320838096471257
stm,0.3138993806533873
unordered-containers,0.2917392042628413
transformers-compat,0.2757796648010969
aeson,0.2515045923927243
semigroups,0.21954202203921852
attoparsec,0.2136828495453081
primitive,0.20094013345921521
process,0.2008623494740318
parsec,0.19393389934561278
exceptions,0.19224454738752828
random,0.18503414277694816
tagged,0.17988573825820073
blaze-builder,0.17741103583057768
network,0.1729890938671205
transformers-base,0.16350006718518006
monad-control,0.1400616004976568
http-types,0.13797743165473142
lens,0.12826963249730117
conduit,0.1220673265245104
data-default-class,0.11975931154985558
resourcet,0.117201133819685
syb,0.11587136440952121
scientific,0.10926677087715778
QuickCheck,0.10682744688157056
case-insensitive,0.1037775339255081
old-locale,0.10012402813472665
utf8-string,0.0965110519868441
wai,0.09368108675536176
data-default,0.08064023442584223
mmorph,0.08043236761280496
split,0.07894305393791994
cereal,0.07855184088005492
comonad,0.07683374312976578
lifted-base,0.07536204697082904
base64-bytestring,0.07396528117222476
contravariant,0.07330557400451095
async,0.07264555786346424
semigroupoids,0.07255038144293231
pipes,0.07156194737746502
memory,0.06907425404343054
blaze-html,0.06852800218093234
dlist,0.06706335226129083
byteable,0.06665934560956839
conduit-extra,0.0646746149594475
bifunctors,0.063500803067728
http-client,0.0629914284915428
optparse-applicative,0.06247349549120296
blaze-markup,0.06196849556347667
HUnit,0.060835135063415174
network-uri,0.05702556928805672
profunctors,0.055218587706974874
base-compat,0.05472063251533778
safe,0.05463395322456123
Cabal,0.054215999980119556
old-time,0.053478938465474773
distributive,0.05304441671385216
void,0.052521565479148324
ansi-terminal,0.05237344698963119
base-orphans,0.049126447974810486
cryptonite,0.04859542139448243
free,0.04802876438421529
tasty,0.047057265445868315
http-conduit,0.04703300281478792
cryptohash,0.04461306234328883
haskell-src-exts,0.04417717818459717
xml-conduit,0.041815711694020895
xml-types,0.0410063462014012
zlib,0.04049677058960099
hxt,0.04039206774402764
fay-base,0.04019934115931392
http-client-tls,0.040004186256147434
yesod-core,0.03933597033197438
regex-base,0.038601427882398266
fay,0.038352407903202414
mwc-random,0.03696146888963323
extensible-exceptions,0.036939134569493624
cmdargs,0.03492607825072692
microlens,0.03475255872079015
temporary,0.0342118099226816
biocore,0.03418330346238589
parallel,0.03417248350391072
securemem,0.034069482731637506
ansi-wl-pprint,0.033655865959942854
glib,0.0334892665858427
asn1-types,0.033167199442228894
JuicyPixels,0.032990664445700445
servant,0.03294162944340228
monad-logger,0.032862171470336696
shakespeare,0.03202308372761027
unix-compat,0.03192922877410439
either,0.031118728063346496
system-filepath,0.031090567751722607
bytestring-builder,0.030606533130184688
yaml,0.030469559496927635
ihaskell,0.03010778456652775
vault,0.02998897966288991
warp,0.02990641551377803
postgresql-simple,0.029902579796593786
crypto-api,0.02970430366528274
tf-random,0.029702683894789847
tagsoup,0.029229676431861126
time-locale-compat,0.02921961670654339
linear,0.029052003622151146
hourglass,0.028485993244809972
entropy,0.028262412643761104
base-prelude,0.02821976109978632
uuid,0.028141201057873887
persistent,0.028125186404676396
streaming-commons,0.02806885330083268
cpphs,0.0278385711013208
hashtables,0.027570275063362445
crypto-cipher-types,0.027553516127661107
wai-extra,0.027501780681347274
StateVar,0.02739787976841904
hmatrix,0.02735400720099279
base16-bytestring,0.027152288176461422
bindings-DSL,0.027120457987783016
regex-tdfa,0.026875365809144725
hxt-charproperties,0.026615360327726385
asn1-encoding,0.02658693420081229
http-media,0.02658335257297406
regex-posix,0.026430331209272285
connection,0.026214354635712197
fail,0.02583217944043685
data-accessor,0.025796571197562106
fingertree,0.025705481455065286
generic-deriving,0.025646181279319686
test-framework,0.025490050605731094
MonadRandom,0.025460762034401348
MemoTrie,0.025456976877535408
web-routes,0.025367683258179997
tls,0.025134117860685434
monads-tf,0.025102840990736317
resource-pool,0.025021654834868255
haskell-src-meta,0.024996557972320987
fgl,0.024982988741697965
lucid,0.024930164442622253
types-compat,0.024922158641738867
gtk3,0.024592605057312873
safecopy,0.024568467463905227
path-pieces,0.024478792579639752
cairo,0.024350590621518793
cookie,0.02415213211479012
haskell-gi,0.024098780954788363
haskell-gi-base,0.024098780954788363
diagrams-lib,0.023937600958374272
colour,0.023504898819600724
hspec-core,0.023440238532263926
data-default-instances-base,0.023305638382315183
data-default-instances-containers,0.023305638382315183
data-default-instances-dlist,0.023305638382315183
data-default-instances-old-locale,0.023305638382315183
websockets,0.0233010247349482
happstack-server,0.02324426646393648
xml,0.02312221409526432
apiary,0.023111634338565643
base-unicode-symbols,0.02286147849878726
ghc-paths,0.022825031402912924
pipes-parse,0.022709958636518673
constraints,0.022683894389093517
markdown-unlit,0.022313431990817496
data-binary-ieee754,0.022287068234919646
clock,0.022277229880847942
hspec-expectations,0.02224435882489488
HDBC,0.022231742247051035
file-embed,0.02217760701927073
hw-prim,0.02213759389264764
snap-core,0.022132658677402196
uniplate,0.02212262052163542
monad-loops,0.021954859939367497
x509,0.021899561505036597
universe-instances-base,0.0218585507082753
HsOpenSSL,0.02183017128091463
fast-logger,0.021820282196980623
errors,0.021749243242082654
SHA,0.02143603311482148
ghc-tcplugins-extra,0.021359078957120525
stringable,0.021280490049083917
network-transport,0.02125308576938121
mwc-probability,0.02122240831231467
parsers,0.021121741258029535
path,0.02100941056808856
reflection,0.020936717660563493
hw-diagnostics,0.02083321604079261
mime-types,0.02079382417825908
byteorder,0.0207571793053567
HTTP,0.020749429545651805
universe-base,0.020673371942830282
storable-complex,0.02059255765187573
hspec,0.020475121701062863
repa,0.02040405199457383
crypto-random,0.020334280871867325
Diff,0.02026930569140457
ListLike,0.02022498287399848
hsp,0.02008995941679417
unbounded-delays,0.01984322888553827
mono-traversable,0.019817484152665214
free-vl,0.019801972570313197
io-streams,0.019796199504005317
megaparsec,0.019758446001403567
digestive-functors,0.01972916668833933
pureMD5,0.019642991653781458
diagrams-core,0.019536145763729442
adjunctions,0.019521677214256204
lens-aeson,0.019328076166687306
machines,0.019319035713899323
enumerator,0.01918445102019207
monoid-subclasses,0.01916713008247826
aeson-pretty,0.01907457276981921
foldl,0.01906998658968265
th-lift,0.019016413051704737
pretty-show,0.018878099830271725
regex-applicative,0.018800942068450642
wl-pprint-text,0.0187928853001313
kan-extensions,0.01874051661085882
double-conversion,0.018718727607950875
operational,0.01869958533821774
gtk,0.018587691066824747
reform,0.018534165717683217
vector-algorithms,0.018499713128182497
pem,0.01849355098875629
smallcheck,0.01846240958383294
gi-glib,0.01846189993451511
extra,0.018445242732105238
word8,0.01840259140264218
pango,0.01829588742343766
dejafu,0.01824999950826169
iproute,0.0182381378150747
prelude-extras,0.018087456232219943
cipher-aes,0.01803084946473094
ieee754,0.018004163199312577
x509-store,0.017956420425252223
th-orphans,0.017931621537206996
http-api-data,0.017915771528019996
numtype-dk,0.017910100300796337
enclosed-exceptions,0.017770597905675922
srcloc,0.017753496952271183
haskeline,0.017751371214939707
polyparse,0.017744662068629326
bytestring-conversion,0.01773045271367625
jmacro,0.017710152805394737
hspec-discover,0.017708990291937222
string-conversions,0.01764491954372034
pointed,0.017637795830818627
stm-chans,0.017556522431962117
singletons,0.01751225544766812
distributed-process,0.017501806492087123
web-routing,0.01747804087181977
Win32,0.01741882816703108
yesod-form,0.017406729624168112
monoid-extras,0.017380019496951893
regex-compat,0.017329654974415565
pipes-bytestring,0.017313478974295707
hw-bits,0.017289464318462643
atomic-primops,0.017258625321555893
convertible,0.017201843069360425
bytes,0.017179390400168026
logict,0.01715571878101051
mcmc-types,0.01701195022003959
bindings-GLFW,0.017007720116070765
pandoc-types,0.016985136893466226
uuid-types,0.016934846640385835
random-shuffle,0.01689533025195782
configurator,0.016816249073621253
Earley,0.01680242300746618
tar,0.016778311416801056
nats,0.016731708180085843
microlens-th,0.01661700292543354
OpenGLRaw,0.01660454165251417
data-reify,0.01658583978681906
hexstring,0.016544319998828758
x509-validation,0.016537018407172314
strict,0.016484960258815778
gi-gobject,0.016428832191521688
stackage-cli,0.01639347251231278
protocol-buffers,0.016352304746906167
terminal-size,0.016333717570637975
th-extras,0.01613496725253413
pipes-safe,0.01612065017633704
wai-websockets,0.01604957759879452
wai-app-static,0.01596581602081319
ekg-core,0.015956609257700632
mtl-compat,0.015906509754558658
chunked-data,0.015881898753234442
email-validate,0.01583570295183206
dependent-sum,0.015775000024586924
fclabels,0.015754447198627265
cheapskate,0.015734908588553757
gitrev,0.015729776438013755
setenv,0.015702905755275384
persistable-record,0.015679329829579855
zlib-bindings,0.015668456026341208
MissingH,0.015645602564654918
tree-fun,0.015595913045807768
pipes-group,0.01558973221053066
serversession,0.01558890073560179
snap-server,0.01558613598589732
deepseq-generics,0.015574816820351176
cassava,0.015572129788929044
webkitgtk3,0.015497250240296134
composition,0.015466447751137107
generics-sop,0.015466012957805175
vinyl,0.015444999970495709
groups,0.015425223564140252
terminfo,0.01539223770921006
clientsession,0.015391254790188252
erf,0.015349912468918555
hslogger,0.01531581790094353
OneTuple,0.015293722687601994
auto-update,0.015281136649786
lrucache,0.015254837256652543
relational-query,0.015230172307688016
network-info,0.015213803843448373
hsx2hs,0.015140493156173288
charset,0.01513394697473194
open-browser,0.015101258404114798
yesod-persistent,0.015059681962785452
criterion,0.015049495524744938
system-fileio,0.014981548014252057
hxt-unicode,0.014966889235522635
fay-text,0.014949999889358887
stripe-core,0.01494587528053672
io-manager,0.014925373203949967
signal,0.014925373203949967
exception-transformers,0.014900941702362624
list-t,0.014899275132950786
hakyll,0.014867500336840759
network-simple,0.01480302456130074
newtype,0.014781425390880381
wreq,0.01472940601939585
pcre-light,0.014676094619922806
xhtml,0.014653837050938937
nonce,0.014637300668204286
users,0.01461250021122397
conduit-combinators,0.014604899805710739
names-th,0.014552085450193255
prometheus-client,0.014537500282749543
yesod-auth,0.014534189754263585
mmap,0.014525562699292508
snap,0.014522500112652787
bson,0.014505195106467009
cprng-aes,0.014499399499951235
xss-sanitize,0.014489991155258073
csv,0.014471088309088812
unix-time,0.014450302623184313
acid-state,0.014439326092155655
stackage-update,0.014427935540816676
curl,0.014420153232557914
Boolean,0.014399560857549622
either-unwrap,0.014362109102350789
clash-prelude,0.014353157633167947
pandoc,0.014346459475528935
NumInstances,0.014324460746996882
unexceptionalio,0.014306350290255862
lens-family-core,0.014305272495075776
data-lens-light,0.014299181092264204
hxt-regex-xmlschema,0.014270581836074063
