package,score
ghc-prim,22.268868469854624
base,19.411049826054185
deepseq,2.7711186028408945
array,2.545753008806812
bytestring,2.5208440376734034
transformers,1.8670760554454207
text,1.3712342399076343
containers,1.2881937619232169
integer-gmp,0.9739989940897953
time,0.7506943769970864
mtl,0.7273362363279463
template-haskell,0.6832305148686754
binary,0.4530789236390937
vector,0.4527195684758678
amazonka-core,0.4479399349335163
pretty,0.44383654673202383
hashable,0.430300917548308
filepath,0.40751956698577335
unix,0.40623372723573253
primitive,0.3332271506956202
directory,0.3220715279717141
stm,0.31226527046851504
aeson,0.30941891862523413
unordered-containers,0.2875372778059456
semigroups,0.28215545100174666
attoparsec,0.25786183080692604
exceptions,0.23976543681158136
transformers-compat,0.21958014944407533
QuickCheck,0.20365264551849568
tagged,0.1943543792254523
random,0.19314973444713768
parsec,0.1859418808361327
lens,0.17711231624949958
process,0.17058690375038635
network,0.16967709515137613
scientific,0.15332080283917424
conduit,0.1373357697418072
http-types,0.1273425791915008
resourcet,0.12433540206448246
async,0.12010603163368966
data-default-class,0.1168397363914598
case-insensitive,0.11483382528549282
base-orphans,0.1098601889895414
base-compat,0.10807307017534921
memory,0.1039681554511343
transformers-base,0.10362351887424653
ansi-terminal,0.09944859906135417
cereal,0.09556496318917206
utility-ht,0.09428227707441687
profunctors,0.08705327253549038
semigroupoids,0.08649762150480318
utf8-string,0.08376000929212912
blaze-builder,0.08345543770787298
monad-control,0.08344058247222719
bifunctors,0.07925016835252777
contravariant,0.07770023267087724
unliftio-core,0.07761156371622685
http-client,0.07720202708916961
data-default,0.076666012974605
optparse-applicative,0.07569546508511493
validity,0.07551407451399428
comonad,0.07548488384942174
wai,0.07494061931089842
cryptonite,0.07437184208715034
split,0.07425594111616927
old-locale,0.07361656062410767
dlist,0.07311840690137844
syb,0.07297073269761262
conduit-extra,0.06855109797932328
distributive,0.0684788534320023
call-stack,0.0661704144656812
network-uri,0.06353175606098664
HUnit,0.0622683430714283
th-abstraction,0.06111014787083639
base64-bytestring,0.05663410536049688
servant,0.05590630654888616
blaze-html,0.0555055679565968
basement,0.05458160626096606
safe,0.05290237451749035
pipes,0.05093892651185869
microlens,0.04933337050531629
byteable,0.04901977496271632
xml-conduit,0.048679433393447664
mmorph,0.04818076813932966
blaze-markup,0.047419083086739255
StateVar,0.04724992567990607
prettyprinter,0.046222179683350524
colour,0.04552453946738827
clock,0.045257600666947485
safe-exceptions,0.04512366223602989
http-conduit,0.044876712473336536
void,0.04374616733728055
hspec,0.0432635394704651
xml-types,0.04200175787611254
ansi-wl-pprint,0.04196248540244203
old-time,0.04117794111722719
constraints,0.04117469244766812
free,0.04110714268216189
zlib,0.040700518643923884
tf-random,0.04050225784848961
time-locale-compat,0.03924198976783656
base-prelude,0.03913974328622443
http-client-tls,0.03910543398356552
regex-base,0.03906625648767392
extensible-exceptions,0.03864663707694708
genvalidity,0.0383273052914592
uuid-types,0.03815337462385274
tasty,0.037597265391377734
erf,0.03713750642270264
Cabal,0.03673499148167048
hourglass,0.03620959182228184
entropy,0.035608039547862305
mono-traversable,0.035597042242692244
asn1-types,0.0348948374630347
postgresql-simple,0.0347422615318687
hspec-core,0.03434762324038235
yaml,0.03413718514793064
yesod-core,0.03380379249954512
singletons,0.03331045250191075
http-media,0.03326173074134214
hspec-expectations,0.0331454562571728
MonadRandom,0.03310356231061747
generics-sop,0.03299153406878553
storable-complex,0.032785405039550644
pretty-show,0.032122526781728694
unliftio,0.031851264638645044
hmatrix,0.03170798014863197
haskell-src-exts,0.031615139187875126
megaparsec,0.03131335573450215
warp,0.030831268498831554
securemem,0.030501695965613557
bindings-DSL,0.030488967798636763
streaming-commons,0.03010536877214263
leancheck,0.030028609700966637
JuicyPixels,0.02984554800715644
vault,0.029815359375971216
http-api-data,0.029765131372792738
unix-compat,0.029504732577849215
uuid,0.029242276918187225
base16-bytestring,0.029109770047270597
reflection,0.029090207528568272
parallel,0.028885428108925942
explicit-exception,0.02887706841510774
linear,0.028760811615205446
temporary,0.028751718687679985
extra,0.02859890890056506
mwc-random,0.028589830723879137
monad-logger,0.02854967988779228
asn1-encoding,0.02818065250833109
data-accessor,0.028077780113284483
lifted-base,0.028063115809701288
atomic-primops,0.027764345276041477
haskell-gi-base,0.02761384770554404
integer-logarithms,0.027345959497976358
writer-cps-transformers,0.027327864864855663
hw-prim,0.02723574615167713
tls,0.02718203892217978
test-framework,0.026677499992074454
storable-record,0.02665856243474904
resource-pool,0.026640086792192028
tagsoup,0.026550472124311844
haskell-src-meta,0.026150246936571867
aeson-pretty,0.02607361121812154
crypto-cipher-types,0.02598493976765562
x509,0.025716054543816924
cuda,0.02548419220825622
X11,0.02547771177504038
haskell-gi,0.025314641752771126
haskell-gi-overloading,0.025314641752771126
data-default-instances-containers,0.02517987026013107
data-default-instances-dlist,0.02517987026013107
data-default-instances-old-locale,0.02517987026013107
adjunctions,0.024910728427554544
cmdargs,0.024788265453657296
regex-posix,0.024730625551815336
hspec-discover,0.02467266543733479
hxt,0.024584411439433823
crypto-api,0.024366936721714895
path,0.024304000435951535
persistent,0.024270141142002755
cookie,0.02425434659288698
connection,0.02421508587975111
io-streams,0.02409132729147011
websockets,0.024053987047825635
