package,score
ghc-prim,8.31224311352972
base,7.261640966338161
bytestring,1.0361797975105997
array,0.9506900081602416
deepseq,0.8850855336127839
transformers,0.6820060843388095
containers,0.5776073429335273
text,0.4548359542528504
integer-gmp,0.3867556053067882
mtl,0.3784206472174179
time,0.3193816517554082
template-haskell,0.22604149281380953
old-locale,0.1838974103540127
unix,0.1798222056244
filepath,0.17449289694529363
hashable,0.15185692184118363
pretty,0.1513174512457398
directory,0.15127125220503415
vector,0.12761347164205675
stm,0.12168505813277772
random,0.1092465004315386
transformers-base,0.10131875724571895
unordered-containers,0.09659756864387953
semigroups,0.09431462644702114
binary,0.0906946675451473
blaze-builder,0.08854449747319101
attoparsec,0.08538158342475868
parsec,0.08489302692504228
monad-control,0.08412458358484051
primitive,0.07958439619502439
process,0.07874393676845037
network,0.07642636836273953
QuickCheck,0.07289922603454918
tagged,0.07282785159510412
syb,0.0646267786888457
semigroupoids,0.06420859963552965
aeson,0.06279244447990091
conduit,0.06255576687201847
data-default-class,0.06167756420976715
byteable,0.05898324513917757
cereal,0.05664114829739416
resourcet,0.05489860521713757
comonad,0.052066356027381695
lifted-base,0.04939012759070432
utf8-string,0.04871826377118378
transformers-compat,0.04534957972488943
exceptions,0.04471775572540529
http-types,0.04464760883081571
void,0.04346577964716715
wai,0.04238901445749777
data-default,0.041983168683696725
old-time,0.04177545131471553
distributive,0.04173449504702452
fay-base,0.04017354910029099
fay,0.038895861341039575
system-filepath,0.03854613474535028
HUnit,0.037768944659955
scientific,0.0371609082352956
async,0.03622697611373703
case-insensitive,0.035980964160291784
mmorph,0.034709458143107635
securemem,0.033097714400673946
blaze-markup,0.03266083826297821
dlist,0.032372138861677446
biocore,0.03205016994266772
base64-bytestring,0.03203231873985004
contravariant,0.03198054498235264
lens,0.03151717747412754
safe,0.03141715244275455
network-uri,0.03055454749757708
conduit-extra,0.029924960602084737
shakespeare,0.029464666608420533
cryptohash,0.02914994356621405
ansi-terminal,0.028752210087279864
split,0.028206137489994437
extensible-exceptions,0.027970832539395526
zlib,0.027798115287483865
crypto-cipher-types,0.027615737234946997
vector-space,0.02714007280155077
haskell-src-exts,0.026661474389314647
asn1-types,0.02644061080173565
profunctors,0.026388279856834146
blaze-html,0.026007475651720388
hxt,0.02594160743474413
nats,0.02548686337572748
tf-random,0.025458076017461743
yesod-core,0.025081067472569597
tasty,0.02439966867064002
hourglass,0.024152182483621526
base-prelude,0.02405086680406385
regex-base,0.023431241346228978
parallel,0.022938683818619986
cmdargs,0.022846686431021848
regex-posix,0.022765751461276986
cpphs,0.02263687119248759
persistent,0.022316623556935134
http-conduit,0.021942193417706115
hxt-charproperties,0.021730024963908297
data-accessor,0.021367692855857615
haskell-src-meta,0.020887643558817226
free,0.02087591351503974
OpenGLRaw,0.020780141454697525
crypto-api,0.020632557533513767
stringable,0.020576556149462712
monad-logger,0.020127226778273295
repa,0.019994285376742492
base-unicode-symbols,0.01997807814514091
uniplate,0.019867365234575156
optparse-applicative,0.019857604046852405
system-fileio,0.019808747320406186
newtype,0.019802777684973176
markdown-unlit,0.019801949012226757
unix-compat,0.019690371508489585
Cabal,0.019579440855511485
http-client,0.019457862482359586
MemoTrie,0.019205222954840423
xml-conduit,0.019143931717964285
crypto-random,0.019123209691821623
either,0.018536589272710003
bifunctors,0.018519506755823967
diagrams-lib,0.018444920212909197
byteorder,0.018386261049644102
entropy,0.018377321264568248
terminfo,0.018091062013372298
HTTP,0.01803420973102284
resource-pool,0.0178670253343756
MonadRandom,0.017836953403380974
unbounded-delays,0.017787972808472545
enumerator,0.017750456785839655
mwc-random,0.017578569281857498
test-framework,0.01740595014125575
generic-deriving,0.017384677605946797
streaming-commons,0.01726176249717258
cipher-aes,0.017242960984709108
fingertree,0.017103796364649444
glib,0.016996359076713367
monoid-extras,0.016929563854596468
data-default-instances-base,0.016927222821916853
data-default-instances-containers,0.016927222821916853
data-default-instances-dlist,0.016927222821916853
data-default-instances-old-locale,0.016927222821916853
xml,0.01688381649885958
ansi-wl-pprint,0.01678059988094954
Boolean,0.01671716790460573
NumInstances,0.01671716790460573
pipes,0.016600000159814964
vault,0.016443359022624584
diagrams-core,0.01634857156640455
monads-tf,0.016303111458531822
vector-algorithms,0.016263844061141713
bindings-DSL,0.016187500553205617
uuid,0.016168643997366283
crypto-pubkey-types,0.016150813211981897
ghc-paths,0.016076108559956157
warp,0.01604558740025355
setenv,0.015859462999695022
polyparse,0.015858658432835245
tls,0.015831260073000557
file-embed,0.015792113378589743
pem,0.0157158025013874
wai-extra,0.015608473340620209
x509,0.015582228589312916
regex-compat,0.015467375388366244
distributed-process,0.015463463995612001
asn1-encoding,0.015397295618695815
bytes,0.015333539888233653
OneTuple,0.015294668399074007
loch-th,0.015278017637756429
JuicyPixels,0.015267531103893901
hspec-discover,0.015181000198062983
list-t,0.01515890358132311
erf,0.01513508651750811
cprng-aes,0.015133113927179899
monoid-subclasses,0.015090014168963543
stm-chans,0.015007394137497162
yaml,0.014959095214894613
fay-text,0.014949999889358887
singletons,0.014949999889358887
io-manager,0.01492537319449595
network-transport,0.01491851376512373
fclabels,0.01491430856373655
vector-space-points,0.014895320182666264
email-validate,0.014872988535798451
blaze-textual,0.014835184357573212
pointed,0.014811348135702982
AC-Vector,0.014803232616995966
hspec-expectations,0.01476552229236405
deepseq-generics,0.014689534579797763
xml-types,0.014687486614427954
snap-core,0.014654856912379735
tagsoup,0.014544302170862795
http-client-tls,0.014477197529522718
yesod-form,0.014382695663613854
text-icu,0.014325062413699935
fast-logger,0.014288814983183911
colour,0.014288035857380142
ieee754,0.014192409017134186
groups,0.014190067067509044
temporary,0.014171727728969357
language-haskell-extract,0.014124999754130849
path-pieces,0.014090109244725561
auto-update,0.014057848378127439
data-lens-light,0.014003843329727568
random-source,0.013874432325319512
rest-core,0.013773906740898392
regular,0.013722816435930952
safecopy,0.013655211586446975
x509-store,0.013632543684137015
barecheck,0.0136300001339987
th-extras,0.013625535452996197
distributed-process-extras,0.013532883028676546
connection,0.013477328713304539
hspec-core,0.013446850122418265
th-orphans,0.013446461279381774
diagrams-svg,0.01343732817322564
groundhog,0.013422142807394274
yesod-persistent,0.013416341923884412
strict,0.013404132064177763
hashtables,0.013399407497490764
csv,0.013396645117944717
monad-loops,0.013374931622961871
fb,0.013365340080417818
th-lift,0.013327999090761305
th-reify-many,0.013327999090761305
adjunctions,0.013311459647345437
cpu,0.013300000079907486
data-inttrie,0.013300000079907486
errorcall-eq-instance,0.013300000079907486
hspec,0.013300000079907486
numtype,0.013300000079907486
keys,0.013271347960111424
hxt-regex-xmlschema,0.013248727865844124
yesod-auth,0.013203156388553915
th-expand-syns,0.013189119830101398
json-schema,0.01317547138897548
data-binary-ieee754,0.013172724951364225
pureMD5,0.013135000052861879
language-glsl,0.013132425824129572
extra,0.013113501680683728
