Name,PR,Rank,NormRank,LTS
ghc-prim,17.00839073836987,1,0.0005675368898978433,5
base,14.833254934398147,2,0.0011350737797956867,5
bytestring,2.1775618376656474,3,0.00170261066969353,5
deepseq,2.1387579564716046,4,0.0022701475595913734,5
array,2.0502979333405116,5,0.0028376844494892167,5
transformers,1.5611623657945939,6,0.00340522133938706,5
text,1.09293796456027,7,0.003972758229284903,5
containers,1.0628559130543527,8,0.004540295119182747,5
integer-gmp,0.793293496973399,9,0.00510783200908059,5
mtl,0.7514063923521473,10,0.0056753688989784334,5
time,0.6524687115022563,11,0.006242905788876277,5
template-haskell,0.47036485392636634,12,0.00681044267877412,5
filepath,0.37202953769468966,13,0.0073779795686719635,5
unix,0.36871459449790217,14,0.007945516458569807,5
binary,0.3620392298410758,15,0.00851305334846765,5
pretty,0.3370511012892307,16,0.009080590238365494,5
directory,0.31597019196520604,17,0.009648127128263337,5
hashable,0.31024344229754397,18,0.01021566401816118,5
vector,0.3100362806525702,19,0.010783200908059024,5
amazonka-core,0.3072786720374675,20,0.011350737797956867,5
stm,0.27193981967392206,21,0.01191827468785471,5
unordered-containers,0.26270683153844204,22,0.012485811577752554,5
transformers-compat,0.23275198280629444,23,0.013053348467650397,5
aeson,0.22190360674058476,24,0.01362088535754824,5
attoparsec,0.19831096802099554,25,0.014188422247446084,5
process,0.18645540121147605,26,0.014755959137343927,5
primitive,0.17543243453534854,27,0.01532349602724177,5
parsec,0.16976893844766902,28,0.015891032917139614,5
exceptions,0.16590028304449703,29,0.016458569807037457,5
blaze-builder,0.16348627828576306,30,0.0170261066969353,5
random,0.16191334292525283,31,0.017593643586833144,5
network,0.15908328865870916,32,0.018161180476730987,5
semigroups,0.15776046889182657,33,0.01872871736662883,5
tagged,0.15177404076549253,34,0.019296254256526674,5
transformers-base,0.14835936348395998,35,0.019863791146424517,5
monad-control,0.1321304002200162,36,0.02043132803632236,5
http-types,0.12711494475596488,37,0.020998864926220204,5
lens,0.11665717242674262,38,0.021566401816118047,5
conduit,0.11318637088943553,39,0.02213393870601589,5
syb,0.10811890555397342,40,0.022701475595913734,5
data-default-class,0.10563931201961327,41,0.023269012485811577,5
resourcet,0.10427359442863497,42,0.02383654937570942,5
scientific,0.10323574962343163,43,0.024404086265607264,5
QuickCheck,0.1007690773460441,44,0.024971623155505107,5
old-locale,0.09665192220586621,45,0.02553916004540295,5
case-insensitive,0.09497946746742265,46,0.026106696935300794,5
utf8-string,0.09090903195840304,47,0.026674233825198637,5
wai,0.0899239990404243,48,0.02724177071509648,5
cereal,0.08106936684945974,49,0.027809307604994324,5
lifted-base,0.07500859627325329,50,0.028376844494892167,5
data-default,0.07412351458934925,51,0.02894438138479001,5
byteable,0.07178721089837074,52,0.029511918274687854,5
comonad,0.06976303522154044,53,0.030079455164585697,5
pipes,0.06906716319594355,54,0.03064699205448354,5
mmorph,0.0676740806660345,55,0.031214528944381384,5
base64-bytestring,0.06749083164898735,56,0.03178206583427923,5
semigroupoids,0.0658303744238871,57,0.03234960272417707,5
contravariant,0.06544770305908283,58,0.032917139614074914,5
split,0.06280036765908076,59,0.03348467650397276,5
async,0.06077155894165154,60,0.0340522133938706,5
HUnit,0.05977585078066388,61,0.034619750283768444,5
conduit-extra,0.05880771167184772,62,0.03518728717366629,5
blaze-html,0.058384069099690475,63,0.03575482406356413,5
bifunctors,0.05677222351907294,64,0.036322360953461974,5
dlist,0.05645610129358773,65,0.03688989784335982,5
blaze-markup,0.05607220860934698,66,0.03745743473325766,5
http-client,0.05564257186155634,67,0.038024971623155504,5
old-time,0.05266036317965946,68,0.03859250851305335,5
memory,0.052279047302590476,69,0.03916004540295119,5
network-uri,0.05202742439132165,70,0.039727582292849034,5
optparse-applicative,0.050941978647163065,71,0.04029511918274688,5
cryptohash,0.0503750822320761,72,0.04086265607264472,5
distributive,0.04935573613344253,73,0.041430192962542564,5
ansi-terminal,0.049137576763614035,74,0.04199772985244041,5
profunctors,0.04732947801949373,75,0.04256526674233825,5
safe,0.047110280978857305,76,0.043132803632236094,5
base-orphans,0.04631540245342416,77,0.04370034052213394,5
void,0.045717998306689406,78,0.04426787741203178,5
tasty,0.04537261473292368,79,0.044835414301929624,5
http-conduit,0.0449901003904156,80,0.04540295119182747,5
Cabal,0.04468044037962507,81,0.04597048808172531,5
haskell-src-exts,0.04446519415170794,82,0.046538024971623154,5
fay-base,0.04019934115931392,83,0.047105561861521,5
free,0.04001845687169539,84,0.04767309875141884,5
zlib,0.03990145241273631,85,0.048240635641316684,5
hxt,0.0390583540862737,86,0.04880817253121453,5
regex-base,0.03873787128078621,87,0.04937570942111237,5
fay,0.038352407903202414,88,0.049943246311010214,5
extensible-exceptions,0.03821318811060762,89,0.05051078320090806,5
yesod-core,0.038140001744001804,90,0.0510783200908059,5
base-compat,0.03807134262513408,91,0.051645856980703744,5
xml-types,0.03751339300552601,92,0.05221339387060159,5
xml-conduit,0.03720397921080599,93,0.05278093076049943,5
either,0.03586186209727454,94,0.053348467650397274,5
http-client-tls,0.03577266610981928,95,0.05391600454029512,5
bindings-DSL,0.03548961955704727,96,0.05448354143019296,5
cmdargs,0.03471437577312543,97,0.055051078320090804,5
biocore,0.034324073423514484,98,0.05561861520998865,5
securemem,0.03417298373973715,99,0.05618615209988649,5
cryptonite,0.03301178559211928,100,0.056753688989784334,5
asn1-types,0.03276899349635963,101,0.05732122587968218,5
JuicyPixels,0.032094690986310646,102,0.05788876276958002,5
parallel,0.03183393053201767,103,0.058456299659477864,5
temporary,0.030881551591072313,104,0.05902383654937571,5
monad-logger,0.030837861046086355,105,0.05959137343927355,5
shakespeare,0.030780543626688767,106,0.060158910329171394,5
bytestring-builder,0.030224962972595516,107,0.06072644721906924,5
crypto-api,0.02995196656787455,108,0.06129398410896708,5
unix-compat,0.029772325270478153,109,0.061861520998864925,5
mwc-random,0.029716865574995276,110,0.06242905788876277,5
linear,0.028888404516279168,111,0.06299659477866061,5
ihaskell,0.02883571981921316,112,0.06356413166855845,5
tf-random,0.02868215379882272,113,0.0641316685584563,5
system-filepath,0.028681459240822594,114,0.06469920544835414,5
ansi-wl-pprint,0.02864922687644487,115,0.06526674233825198,5
persistent,0.028262619206108782,116,0.06583427922814983,5
hourglass,0.028137955666291,117,0.06640181611804767,5
entropy,0.02802250729577951,118,0.06696935300794551,5
yaml,0.02793191012393842,119,0.06753688989784336,5
cpphs,0.02787999847401627,120,0.0681044267877412,5
base16-bytestring,0.027821358999934164,121,0.06867196367763904,5
streaming-commons,0.027637986261698888,122,0.06923950056753689,5
crypto-cipher-types,0.02760280265729279,123,0.06980703745743473,5
vault,0.0274553480450107,124,0.07037457434733257,5
hmatrix,0.02735400720099279,125,0.07094211123723042,5
warp,0.02734888324910683,126,0.07150964812712826,5
regex-posix,0.027065831296050107,127,0.0720771850170261,5
wai-extra,0.02690813648932298,128,0.07264472190692395,5
base-prelude,0.026842233810985723,129,0.07321225879682179,5
tagsoup,0.026721024968272104,130,0.07377979568671963,5
microlens,0.02662579735273249,131,0.07434733257661748,5
uuid,0.026614175944155886,132,0.07491486946651532,5
hxt-charproperties,0.026455689322531128,133,0.07548240635641316,5
asn1-encoding,0.026267730638529597,134,0.07604994324631101,5
StateVar,0.02610126132776912,135,0.07661748013620885,5
