Name,PR,Rank,NormRank,LTS
ghc-prim,8.31224311352972,1,0.0011627906976744186,1
base,7.261640966338161,2,0.002325581395348837,1
bytestring,1.0361797975105997,3,0.0034883720930232558,1
array,0.9506900081602416,4,0.004651162790697674,1
deepseq,0.8850855336127839,5,0.005813953488372093,1
transformers,0.6820060843388095,6,0.0069767441860465115,1
containers,0.5776073429335273,7,0.00813953488372093,1
text,0.4548359542528504,8,0.009302325581395349,1
integer-gmp,0.3867556053067882,9,0.010465116279069767,1
mtl,0.3784206472174179,10,0.011627906976744186,1
time,0.3193816517554082,11,0.012790697674418604,1
template-haskell,0.22604149281380953,12,0.013953488372093023,1
old-locale,0.1838974103540127,13,0.015116279069767442,1
unix,0.1798222056244,14,0.01627906976744186,1
filepath,0.17449289694529363,15,0.01744186046511628,1
hashable,0.15185692184118363,16,0.018604651162790697,1
pretty,0.1513174512457398,17,0.019767441860465116,1
directory,0.15127125220503415,18,0.020930232558139535,1
vector,0.12761347164205675,19,0.022093023255813953,1
stm,0.12168505813277772,20,0.023255813953488372,1
random,0.1092465004315386,21,0.02441860465116279,1
transformers-base,0.10131875724571895,22,0.02558139534883721,1
unordered-containers,0.09659756864387953,23,0.026744186046511628,1
semigroups,0.09431462644702114,24,0.027906976744186046,1
binary,0.0906946675451473,25,0.029069767441860465,1
blaze-builder,0.08854449747319101,26,0.030232558139534883,1
attoparsec,0.08538158342475868,27,0.031395348837209305,1
parsec,0.08489302692504228,28,0.03255813953488372,1
monad-control,0.08412458358484051,29,0.03372093023255814,1
primitive,0.07958439619502439,30,0.03488372093023256,1
process,0.07874393676845037,31,0.03604651162790698,1
network,0.07642636836273953,32,0.037209302325581395,1
QuickCheck,0.07289922603454918,33,0.03837209302325582,1
tagged,0.07282785159510412,34,0.03953488372093023,1
syb,0.0646267786888457,35,0.040697674418604654,1
semigroupoids,0.06420859963552965,36,0.04186046511627907,1
aeson,0.06279244447990091,37,0.04302325581395349,1
conduit,0.06255576687201847,38,0.044186046511627906,1
data-default-class,0.06167756420976715,39,0.04534883720930233,1
byteable,0.05898324513917757,40,0.046511627906976744,1
cereal,0.05664114829739416,41,0.047674418604651166,1
resourcet,0.05489860521713757,42,0.04883720930232558,1
comonad,0.052066356027381695,43,0.05,1
lifted-base,0.04939012759070432,44,0.05116279069767442,1
utf8-string,0.04871826377118378,45,0.05232558139534884,1
transformers-compat,0.04534957972488943,46,0.053488372093023255,1
exceptions,0.04471775572540529,47,0.05465116279069768,1
http-types,0.04464760883081571,48,0.05581395348837209,1
void,0.04346577964716715,49,0.056976744186046514,1
wai,0.04238901445749777,50,0.05813953488372093,1
data-default,0.041983168683696725,51,0.05930232558139535,1
old-time,0.04177545131471553,52,0.06046511627906977,1
distributive,0.04173449504702452,53,0.06162790697674419,1
fay-base,0.04017354910029099,54,0.06279069767441861,1
fay,0.038895861341039575,55,0.06395348837209303,1
system-filepath,0.03854613474535028,56,0.06511627906976744,1
HUnit,0.037768944659955,57,0.06627906976744186,1
scientific,0.0371609082352956,58,0.06744186046511629,1
async,0.03622697611373703,59,0.0686046511627907,1
case-insensitive,0.035980964160291784,60,0.06976744186046512,1
mmorph,0.034709458143107635,61,0.07093023255813953,1
securemem,0.033097714400673946,62,0.07209302325581396,1
blaze-markup,0.03266083826297821,63,0.07325581395348837,1
dlist,0.032372138861677446,64,0.07441860465116279,1
biocore,0.03205016994266772,65,0.0755813953488372,1
base64-bytestring,0.03203231873985004,66,0.07674418604651163,1
contravariant,0.03198054498235264,67,0.07790697674418605,1
lens,0.03151717747412754,68,0.07906976744186046,1
safe,0.03141715244275455,69,0.08023255813953488,1
network-uri,0.03055454749757708,70,0.08139534883720931,1
conduit-extra,0.029924960602084737,71,0.08255813953488372,1
shakespeare,0.029464666608420533,72,0.08372093023255814,1
