Name,PR,Rank,NormRank,LTS
ghc-prim,21.21925830533357,1,0.0004528985507246377,8
base,18.596251999873246,2,0.0009057971014492754,8
integer-gmp,10.158522393097174,3,0.001358695652173913,8
deepseq,2.5317237119979037,4,0.0018115942028985507,8
bytestring,2.491036934092939,5,0.0022644927536231885,8
array,2.4616994836857153,6,0.002717391304347826,8
transformers,1.878553365430943,7,0.003170289855072464,8
text,1.3380235237831468,8,0.0036231884057971015,8
containers,1.3190153883471771,9,0.004076086956521739,8
mtl,0.9119396618532931,10,0.004528985507246377,8
time,0.763138501101568,11,0.004981884057971014,8
template-haskell,0.5686780383125554,12,0.005434782608695652,8
gogol-core,0.4806032785773277,13,0.00588768115942029,8
binary,0.43740906367931176,14,0.006340579710144928,8
amazonka-core,0.4346728215755947,15,0.006793478260869565,8
unix,0.4155975804769365,16,0.007246376811594203,8
vector,0.41239212637543526,17,0.007699275362318841,8
filepath,0.40753971373428577,18,0.008152173913043478,8
hashable,0.39820204480236954,19,0.008605072463768116,8
transformers-compat,0.3544696510833502,20,0.009057971014492754,8
directory,0.342700944021008,21,0.009510869565217392,8
stm,0.33635233873846654,22,0.009963768115942028,8
pretty,0.3050539160090241,23,0.010416666666666666,8
unordered-containers,0.303504507547822,24,0.010869565217391304,8
aeson,0.27497507036881313,25,0.011322463768115942,8
attoparsec,0.2501122487806349,26,0.01177536231884058,8
exceptions,0.2438790999718425,27,0.012228260869565218,8
primitive,0.22204871576740223,28,0.012681159420289856,8
semigroups,0.21906581006776146,29,0.013134057971014492,8
ghc-boot-th,0.20310858477071383,30,0.01358695652173913,8
process,0.19625037398911616,31,0.014039855072463768,8
parsec,0.1920234092252961,32,0.014492753623188406,8
lens,0.1877665909280221,33,0.014945652173913044,8
tagged,0.18185939878074947,34,0.015398550724637682,8
transformers-base,0.17590866334257094,35,0.01585144927536232,8
network,0.1703151369870221,36,0.016304347826086956,8
random,0.1700866978990898,37,0.016757246376811596,8
blaze-builder,0.16378724847578657,38,0.017210144927536232,8
scientific,0.16313319656165645,39,0.017663043478260868,8
http-types,0.16205581684979423,40,0.018115942028985508,8
monad-control,0.15485089416161943,41,0.018568840579710144,8
case-insensitive,0.1450128110679557,42,0.019021739130434784,8
conduit,0.13883637843138713,43,0.01947463768115942,8
resourcet,0.13479427296122476,44,0.019927536231884056,8
QuickCheck,0.12677115913633757,45,0.020380434782608696,8
data-default-class,0.11906402034614044,46,0.020833333333333332,8
memory,0.10189052079882852,47,0.021286231884057972,8
syb,0.10018850976859281,48,0.021739130434782608,8
dlist,0.09790991142915279,49,0.022192028985507248,8
old-locale,0.09507772092486796,50,0.022644927536231884,8
bifunctors,0.09448614413743901,51,0.02309782608695652,8
utf8-string,0.09276935037513988,52,0.02355072463768116,8
data-default,0.09176781657876391,53,0.024003623188405796,8
mmorph,0.08958395203200965,54,0.024456521739130436,8
base-compat,0.0891245531253442,55,0.024909420289855072,8
http-client,0.0874414064923876,56,0.025362318840579712,8
wai,0.08600799660242264,57,0.025815217391304348,8
split,0.08527960902620192,58,0.026268115942028984,8
contravariant,0.08261490604904681,59,0.026721014492753624,8
comonad,0.08175366162284534,60,0.02717391304347826,8
semigroupoids,0.07699657108105354,61,0.0276268115942029,8
