Name,PR,Rank,NormRank,LTS
ghc-prim,22.14620701763418,1,0.0004347826086956522,15
base,19.770794469533154,2,0.0008695652173913044,15
deepseq,2.930878989881459,3,0.0013043478260869566,15
array,2.6707639048729908,4,0.0017391304347826088,15
bytestring,2.288575492093912,5,0.002173913043478261,15
transformers,1.8832530619969592,6,0.0026086956521739132,15
text,1.3221548907803655,7,0.003043478260869565,15
containers,1.3114729108456895,8,0.0034782608695652175,15
integer-gmp,0.8849669772298165,9,0.00391304347826087,15
template-haskell,0.8433482173799595,10,0.004347826086956522,15
time,0.6873476521752471,11,0.004782608695652174,15
mtl,0.6662441128623613,12,0.0052173913043478265,15
pretty,0.5146785473516863,13,0.005652173913043478,15
vector,0.48906153017737175,14,0.00608695652173913,15
amazonka-core,0.4433238180423905,15,0.006521739130434782,15
hashable,0.43666235713807117,16,0.006956521739130435,15
filepath,0.4157132666123109,17,0.007391304347826087,15
binary,0.40804139833009684,18,0.00782608695652174,15
primitive,0.3944716614618957,19,0.00826086956521739,15
unix,0.34391877751514394,20,0.008695652173913044,15
directory,0.3332112888446819,21,0.009130434782608696,15
stm,0.30598915084965167,22,0.009565217391304347,15
aeson,0.3042417696196186,23,0.01,15
unordered-containers,0.2805792380320511,24,0.010434782608695653,15
semigroups,0.23952035418216205,25,0.010869565217391304,15
attoparsec,0.23826921308551632,26,0.011304347826086957,15
exceptions,0.2315054369751517,27,0.011739130434782608,15
QuickCheck,0.22527333425360066,28,0.01217391304347826,15
tagged,0.217559023767252,29,0.012608695652173913,15
random,0.20528482791310837,30,0.013043478260869565,15
transformers-compat,0.17780934076855903,31,0.013478260869565217,15
process,0.16912670040516992,32,0.01391304347826087,15
parsec,0.16527003966528936,33,0.014347826086956521,15
lens,0.15827825938805765,34,0.014782608695652174,15
scientific,0.14629647667321624,35,0.015217391304347827,15
conduit,0.12824906471051845,36,0.01565217391304348,15
network,0.12627075591559672,37,0.01608695652173913,15
base-orphans,0.12466312619501889,38,0.01652173913043478,15
async,0.11487222834489122,39,0.016956521739130436,15
ansi-terminal,0.1127316457362891,40,0.017391304347826087,15
resourcet,0.11121288709728196,41,0.017826086956521738,15
http-types,0.10995335838601022,42,0.018260869565217393,15
base-compat,0.10691431806546176,43,0.018695652173913044,15
data-default-class,0.10247148938275205,44,0.019130434782608695,15
case-insensitive,0.09964046069091091,45,0.01956521739130435,15
utility-ht,0.09866790939675761,46,0.02,15
transformers-base,0.09529395390875749,47,0.02043478260869565,15
validity,0.09421068634113909,48,0.020869565217391306,15
optparse-applicative,0.09391693733348719,49,0.021304347826086957,15
memory,0.09332845128111096,50,0.021739130434782608,15
semigroupoids,0.09278749913795456,51,0.02217391304347826,15
unliftio-core,0.09192358320782631,52,0.022608695652173914,15
bifunctors,0.08033593172873207,53,0.023043478260869565,15
comonad,0.07821739886321744,54,0.023478260869565216,15
syb,0.0770318215456836,55,0.02391304347826087,15
cereal,0.07656454202130471,56,0.02434782608695652,15
data-default,0.07616291541720757,57,0.024782608695652172,15
profunctors,0.07564551693107674,58,0.025217391304347827,15
monad-control,0.0753702466165693,59,0.025652173913043478,15
http-client,0.0750549694242289,60,0.02608695652173913,15
contravariant,0.07478249181638365,61,0.026521739130434784,15
dlist,0.07272472792711862,62,0.026956521739130435,15
distributive,0.07265534968630583,63,0.027391304347826086,15
split,0.07231588592770091,64,0.02782608695652174,15
th-abstraction,0.07128068446570192,65,0.02826086956521739,15
utf8-string,0.07082642455939732,66,0.028695652173913042,15
call-stack,0.06830089385055979,67,0.029130434782608697,15
blaze-builder,0.06688688919484562,68,0.029565217391304348,15
HUnit,0.06447197887226508,69,0.03,15
conduit-extra,0.06374556601439185,70,0.030434782608695653,15
cryptonite,0.06302843214462535,71,0.030869565217391304,15
old-locale,0.06170791554441231,72,0.03130434782608696,15
wai,0.057456240476209224,73,0.03173913043478261,15
pipes,0.05653311858581731,74,0.03217391304347826,15
basement,0.055613440235612696,75,0.03260869565217391,15
