﻿Name,Url,Version Count
base-compat,https://hackage.haskell.org/package/base-compat,33
base-compat-batteries,https://hackage.haskell.org/package/base-compat-batteries,8
basement,https://hackage.haskell.org/package/basement,12
base-noprelude,https://hackage.haskell.org/package/base-noprelude,20
base-orphans,https://hackage.haskell.org/package/base-orphans,24
base-prelude,https://hackage.haskell.org/package/base-prelude,33
base-unicode-symbols,https://hackage.haskell.org/package/base-unicode-symbols,22
basic-prelude,https://hackage.haskell.org/package/basic-prelude,25
bazel-runfiles,https://hackage.haskell.org/package/bazel-runfiles,2
bbdb,https://hackage.haskell.org/package/bbdb,8
bcrypt,https://hackage.haskell.org/package/bcrypt,11
beam-core,https://hackage.haskell.org/package/beam-core,8
beam-migrate,https://hackage.haskell.org/package/beam-migrate,8
beam-mysql,https://hackage.haskell.org/package/beam-mysql,1
beam-postgres,https://hackage.haskell.org/package/beam-postgres,6
beam-sqlite,https://hackage.haskell.org/package/beam-sqlite,9
bench,https://hackage.haskell.org/package/bench,14
benchpress,https://hackage.haskell.org/package/benchpress,16
bench-show,https://hackage.haskell.org/package/bench-show,5
bencode,https://hackage.haskell.org/package/bencode,10
bencoding,https://hackage.haskell.org/package/bencoding,17
between,https://hackage.haskell.org/package/between,5
bibtex,https://hackage.haskell.org/package/bibtex,13
bifunctors,https://hackage.haskell.org/package/bifunctors,41
bimap,https://hackage.haskell.org/package/bimap,11
bimap-server,https://hackage.haskell.org/package/bimap-server,2
binary,https://hackage.haskell.org/package/binary,47
binary-bits,https://hackage.haskell.org/package/binary-bits,5
binary-conduit,https://hackage.haskell.org/package/binary-conduit,13
binary-ext,https://hackage.haskell.org/package/binary-ext,8
binary-ieee754,https://hackage.haskell.org/package/binary-ieee754,1
binary-list,https://hackage.haskell.org/package/binary-list,28
binary-orphans,https://hackage.haskell.org/package/binary-orphans,13
binary-parser,https://hackage.haskell.org/package/binary-parser,5
binary-parsers,https://hackage.haskell.org/package/binary-parsers,7
binary-search,https://hackage.haskell.org/package/binary-search,7
binary-shared,https://hackage.haskell.org/package/binary-shared,4
binary-tagged,https://hackage.haskell.org/package/binary-tagged,12
bindings-DSL,https://hackage.haskell.org/package/bindings-DSL,26
bindings-GLFW,https://hackage.haskell.org/package/bindings-GLFW,22
bindings-libzip,https://hackage.haskell.org/package/bindings-libzip,10
bindings-uname,https://hackage.haskell.org/package/bindings-uname,1
bins,https://hackage.haskell.org/package/bins,4
