4,abstract-deque,
0,abstract-deque-tests,
1,abstract-par,
2,accuerr,http://www.github.com/massysett/accuerr,
3,ace,
20,action-permutations,
21,active,
22,ad,http://github.com/ekmett/ad,
23,adjunctions,http://github.com/ekmett/adjunctions/,
24,adler32,https://github.com/redneb/hs-adler32,
25,advent-of-code-api,https://github.com/mstksg/advent-of-code-api#readme,https://github.com/mstksg/advent-of-code-api/releases/tag/v0.1.2.1,https://github.com/mstksg/advent-of-code-api/releases/tag/v0.1.2.2,https://github.com/mstksg/advent-of-code-api/releases/tag/v0.1.2.3,https://github.com/mstksg/advent-of-code-api/releases/tag/v0.1.2.0,https://github.com/mstksg/advent-of-code-api/releases/tag/v0.1.1.0,https://github.com/mstksg/advent-of-code-api/releases/tag/v0.1.0.0,
5,aeson,https://github.com/bos/aeson,http://github.com/bos/aeson/issues,http://github.com/bos/aeson,https://github.com/bos/aeson/blob/master/changelog.md,https://github.com/bos/aeson/blob/master/changelog.md,https://github.com/bos/aeson/commit/3fb7c155f2255482b1b9566ec5c1eaf9895d630e,https://github.com/bos/aeson/commit/ecfca35a45286dbe2bbaf5f62354be393bc59b66,https://github.com/bos/aeson/commit/8ef622c2ad8d4a109884e17c2792238a2a320e44,https://github.com/bos/aeson/pull/452,https://github.com/bos/aeson/issues/53,https://github.com/bos/aeson/issues/62,https://github.com/bos/aeson/tree/master/examples,
6,aeson-attoparsec,https://github.com/athanclark/aeson-attoparsec#readme,
7,aeson-better-errors,https://github.com/hdgarrood/aeson-better-errors,
8,aeson-casing,
9,aeson-compat,https://github.com/phadej/aeson-compat#readme,
10,aeson-diff,https://github.com/thsutton/aeson-diff,
11,aeson-extra,https://github.com/phadej/aeson-extra#readme,
12,aeson-generic-compat,
13,aeson-iproute,https://github.com/greydot/aeson-iproute,
14,aeson-picker,https://github.com/ozzzzz/aeson-picker#readme,
15,aeson-pretty,http://github.com/informatikr/aeson-pretty,http://github.com/informatikr/aeson-pretty/issues,http://github.com/informatikr/aeson-pretty,
16,aeson-qq,https://github.com/sol/aeson-qq#readme,https://github.com/sol/aeson-qq#readme,
17,aeson-utils,
18,aeson-yak,https://github.com/tejon/aeson-yak,
19,al,http://github.com/phaazon/al,
36,alarmclock,https://github.com/DaveCTurner/alarmclock,https://github.com/DaveCTurner/alarmclock/blob/master/README.md,
37,alerts,https://github.com/alx741/alerts#readme,
38,alex,https://github.com/simonmar/alex/issues,
39,alg,
40,algebraic-graphs,http://github.com/algebraic-graphs/agda,http://github.com/algebraic-graphs/scala,
