Name,PR,Rank,NormRank,LTS
ghc-prim,16.333465704252667,1,0.000591016548463357,4
base,14.24720875428539,2,0.001182033096926714,4
bytestring,2.086821046449421,3,0.0017730496453900709,4
deepseq,2.0372614015970103,4,0.002364066193853428,4
array,1.9715919001828002,5,0.002955082742316785,4
transformers,1.4832302700626403,6,0.0035460992907801418,4
text,1.0368267806147529,7,0.004137115839243499,4
containers,1.0295294412951885,8,0.004728132387706856,4
integer-gmp,0.7594818889064298,9,0.005319148936170213,4
mtl,0.7147420021236042,10,0.00591016548463357,4
time,0.6142822629365412,11,0.0065011820330969266,4
template-haskell,0.4347252679627707,12,0.0070921985815602835,4
unix,0.35554659537534244,13,0.0076832151300236405,4
filepath,0.35058257790131886,14,0.008274231678486997,4
binary,0.3498043881184613,15,0.008865248226950355,4
pretty,0.31532774408932096,16,0.009456264775413711,4
amazonka-core,0.3072828442517807,17,0.01004728132387707,4
directory,0.30154375575783865,18,0.010638297872340425,4
hashable,0.29692845058156453,19,0.011229314420803783,4
vector,0.2919392688814162,20,0.01182033096926714,4
stm,0.26960051779784994,21,0.012411347517730497,4
unordered-containers,0.24689948428127106,22,0.013002364066193853,4
transformers-compat,0.21812992847189558,23,0.013593380614657211,4
aeson,0.1975093233435945,24,0.014184397163120567,4
attoparsec,0.18585449389506015,25,0.014775413711583925,4
process,0.17289376271423676,26,0.015366430260047281,4
primitive,0.16856259866387724,27,0.015957446808510637,4
parsec,0.15866588770914125,28,0.016548463356973995,4
exceptions,0.15864741513199607,29,0.017139479905437353,4
blaze-builder,0.1577700577720679,30,0.01773049645390071,4
random,0.1576944065553832,31,0.018321513002364065,4
tagged,0.15337568388233658,32,0.018912529550827423,4
semigroups,0.1513398196306069,33,0.01950354609929078,4
network,0.1491325016443105,34,0.02009456264775414,4
transformers-base,0.14277010120805422,35,0.020685579196217493,4
monad-control,0.12870602675480086,36,0.02127659574468085,4
http-types,0.11894309268560717,37,0.02186761229314421,4
conduit,0.11143069020820855,38,0.022458628841607566,4
lens,0.10919868589289886,39,0.02304964539007092,4
syb,0.10713933600700494,40,0.02364066193853428,4
resourcet,0.10374240202347934,41,0.024231678486997636,4
data-default-class,0.10107048052442277,42,0.024822695035460994,4
QuickCheck,0.09713338723442495,43,0.02541371158392435,4
scientific,0.09661601107574128,44,0.026004728132387706,4
old-locale,0.0941508925922941,45,0.026595744680851064,4
case-insensitive,0.09146246275773313,46,0.027186761229314422,4
utf8-string,0.08802884033286822,47,0.027777777777777776,4
wai,0.08786290292336482,48,0.028368794326241134,4
cereal,0.08137007474162625,49,0.028959810874704492,4
lifted-base,0.07323988329734317,50,0.02955082742316785,4
data-default,0.07316938555980157,51,0.030141843971631204,4
byteable,0.06852285027038467,52,0.030732860520094562,4
mmorph,0.06655516114302913,53,0.031323877068557916,4
