Name,PR,Rank,NormRank,LTS
ghc-prim,22.268868469854624,1,0.00043308791684711995,13
base,19.411049826054185,2,0.0008661758336942399,13
deepseq,2.7711186028408945,3,0.00129926375054136,13
array,2.545753008806812,4,0.0017323516673884798,13
bytestring,2.5208440376734034,5,0.0021654395842356,13
transformers,1.8670760554454207,6,0.00259852750108272,13
text,1.3712342399076343,7,0.0030316154179298397,13
containers,1.2881937619232169,8,0.0034647033347769596,13
integer-gmp,0.9739989940897953,9,0.0038977912516240795,13
time,0.7506943769970864,10,0.0043308791684712,13
mtl,0.7273362363279463,11,0.004763967085318319,13
template-haskell,0.6832305148686754,12,0.00519705500216544,13
binary,0.4530789236390937,13,0.00563014291901256,13
vector,0.4527195684758678,14,0.006063230835859679,13
amazonka-core,0.4479399349335163,15,0.0064963187527068,13
pretty,0.44383654673202383,16,0.006929406669553919,13
hashable,0.430300917548308,17,0.0073624945864010395,13
filepath,0.40751956698577335,18,0.007795582503248159,13
unix,0.40623372723573253,19,0.00822867042009528,13
primitive,0.3332271506956202,20,0.0086617583369424,13
directory,0.3220715279717141,21,0.009094846253789519,13
stm,0.31226527046851504,22,0.009527934170636639,13
aeson,0.30941891862523413,23,0.00996102208748376,13
unordered-containers,0.2875372778059456,24,0.01039411000433088,13
semigroups,0.28215545100174666,25,0.010827197921177999,13
attoparsec,0.25786183080692604,26,0.01126028583802512,13
exceptions,0.23976543681158136,27,0.01169337375487224,13
transformers-compat,0.21958014944407533,28,0.012126461671719359,13
QuickCheck,0.20365264551849568,29,0.012559549588566478,13
tagged,0.1943543792254523,30,0.0129926375054136,13
random,0.19314973444713768,31,0.013425725422260719,13
parsec,0.1859418808361327,32,0.013858813339107838,13
lens,0.17711231624949958,33,0.01429190125595496,13
process,0.17058690375038635,34,0.014724989172802079,13
network,0.16967709515137613,35,0.015158077089649198,13
scientific,0.15332080283917424,36,0.015591165006496318,13
conduit,0.1373357697418072,37,0.01602425292334344,13
http-types,0.1273425791915008,38,0.01645734084019056,13
resourcet,0.12433540206448246,39,0.016890428757037678,13
async,0.12010603163368966,40,0.0173235166738848,13
data-default-class,0.1168397363914598,41,0.017756604590731917,13
case-insensitive,0.11483382528549282,42,0.018189692507579038,13
base-orphans,0.1098601889895414,43,0.01862278042442616,13
base-compat,0.10807307017534921,44,0.019055868341273277,13
memory,0.1039681554511343,45,0.0194889562581204,13
transformers-base,0.10362351887424653,46,0.01992204417496752,13
ansi-terminal,0.09944859906135417,47,0.020355132091814637,13
cereal,0.09556496318917206,48,0.02078822000866176,13
utility-ht,0.09428227707441687,49,0.02122130792550888,13
profunctors,0.08705327253549038,50,0.021654395842355997,13
semigroupoids,0.08649762150480318,51,0.02208748375920312,13
utf8-string,0.08376000929212912,52,0.02252057167605024,13
blaze-builder,0.08345543770787298,53,0.022953659592897357,13
monad-control,0.08344058247222719,54,0.02338674750974448,13
bifunctors,0.07925016835252777,55,0.023819835426591596,13
contravariant,0.07770023267087724,56,0.024252923343438718,13
unliftio-core,0.07761156371622685,57,0.02468601126028584,13
http-client,0.07720202708916961,58,0.025119099177132957,13
data-default,0.076666012974605,59,0.025552187093980078,13
optparse-applicative,0.07569546508511493,60,0.0259852750108272,13
validity,0.07551407451399428,61,0.026418362927674317,13
comonad,0.07548488384942174,62,0.026851450844521438,13
wai,0.07494061931089842,63,0.02728453876136856,13
cryptonite,0.07437184208715034,64,0.027717626678215677,13
split,0.07425594111616927,65,0.028150714595062798,13
old-locale,0.07361656062410767,66,0.02858380251190992,13
dlist,0.07311840690137844,67,0.029016890428757037,13
syb,0.07297073269761262,68,0.029449978345604158,13
conduit-extra,0.06855109797932328,69,0.02988306626245128,13
distributive,0.0684788534320023,70,0.030316154179298397,13
call-stack,0.0661704144656812,71,0.030749242096145518,13
network-uri,0.06353175606098664,72,0.031182330012992636,13
HUnit,0.0622683430714283,73,0.03161541792983976,13
th-abstraction,0.06111014787083639,74,0.03204850584668688,13
base64-bytestring,0.05663410536049688,75,0.032481593763533996,13
servant,0.05590630654888616,76,0.03291468168038112,13
blaze-html,0.0555055679565968,77,0.03334776959722824,13
basement,0.05458160626096606,78,0.033780857514075356,13
safe,0.05290237451749035,79,0.034213945430922474,13
pipes,0.05093892651185869,80,0.0346470333477696,13
microlens,0.04933337050531629,81,0.035080121264616716,13
byteable,0.04901977496271632,82,0.035513209181463834,13
xml-conduit,0.048679433393447664,83,0.03594629709831096,13
mmorph,0.04818076813932966,84,0.036379385015158076,13
blaze-markup,0.047419083086739255,85,0.036812472932005194,13
StateVar,0.04724992567990607,86,0.03724556084885232,13
prettyprinter,0.046222179683350524,87,0.037678648765699436,13
colour,0.04552453946738827,88,0.038111736682546554,13
clock,0.045257600666947485,89,0.03854482459939368,13
safe-exceptions,0.04512366223602989,90,0.0389779125162408,13
http-conduit,0.044876712473336536,91,0.039411000433087914,13
void,0.04374616733728055,92,0.03984408834993504,13
hspec,0.0432635394704651,93,0.04027717626678216,13
xml-types,0.04200175787611254,94,0.040710264183629274,13
ansi-wl-pprint,0.04196248540244203,95,0.0411433521004764,13
old-time,0.04117794111722719,96,0.04157644001732352,13
constraints,0.04117469244766812,97,0.042009527934170635,13
free,0.04110714268216189,98,0.04244261585101776,13
zlib,0.040700518643923884,99,0.04287570376786488,13
tf-random,0.04050225784848961,100,0.043308791684711995,13
time-locale-compat,0.03924198976783656,101,0.04374187960155912,13
base-prelude,0.03913974328622443,102,0.04417496751840624,13
http-client-tls,0.03910543398356552,103,0.044608055435253355,13
regex-base,0.03906625648767392,104,0.04504114335210048,13
