Name,PR,Rank,NormRank,LTS
ghc-prim,10.21478450519073,1,0.000946073793755913,2
base,8.963717441341908,2,0.001892147587511826,2
bytestring,1.2546134806448366,3,0.002838221381267739,2
array,1.161148772330364,4,0.003784295175023652,2
deepseq,1.0988678139491646,5,0.004730368968779565,2
transformers,0.9088050452008963,6,0.005676442762535478,2
containers,0.6911287726213252,7,0.006622516556291391,2
text,0.576054577705591,8,0.007568590350047304,2
mtl,0.49350997338419433,9,0.008514664143803218,2
integer-gmp,0.4729578898975766,10,0.00946073793755913,2
time,0.3862059730766878,11,0.010406811731315043,2
template-haskell,0.2614318659655255,12,0.011352885525070956,2
old-locale,0.2291630766584415,13,0.01229895931882687,2
amazonka-core,0.2282949334383011,14,0.013245033112582781,2
unix,0.2120300248857704,15,0.014191106906338695,2
filepath,0.20778689787962484,16,0.015137180700094607,2
hashable,0.19321777479448246,17,0.01608325449385052,2
directory,0.185153836493638,18,0.017029328287606435,2
pretty,0.17287950911491679,19,0.017975402081362345,2
vector,0.1704593442843027,20,0.01892147587511826,2
stm,0.15933710325378111,21,0.019867549668874173,2
transformers-compat,0.14082472788346134,22,0.020813623462630087,2
random,0.12235522156944413,23,0.021759697256385997,2
unordered-containers,0.12160192398824793,24,0.02270577105014191,2
attoparsec,0.11433549591092315,25,0.023651844843897825,2
semigroups,0.11392348867388177,26,0.02459791863765374,2
binary,0.10892636918465647,27,0.02554399243140965,2
aeson,0.10255445690693842,28,0.026490066225165563,2
process,0.10190481365635468,29,0.027436140018921477,2
primitive,0.10065327270922354,30,0.02838221381267739,2
blaze-builder,0.09812129532043459,31,0.0293282876064333,2
transformers-base,0.09548370157326112,32,0.030274361400189215,2
parsec,0.09504393878841408,33,0.03122043519394513,2
network,0.09275906866611056,34,0.03216650898770104,2
tagged,0.09260531916785132,35,0.033112582781456956,2
monad-control,0.09082268803393745,36,0.03405865657521287,2
QuickCheck,0.07926722069169337,37,0.03500473036896878,2
data-default-class,0.07842124864541088,38,0.03595080416272469,2
conduit,0.07548163681979833,39,0.036896877956480605,2
semigroupoids,0.07070746031665456,40,0.03784295175023652,2
syb,0.07052251010954926,41,0.03878902554399243,2
resourcet,0.06584017158868186,42,0.039735099337748346,2
byteable,0.06571494677610379,43,0.04068117313150426,2
exceptions,0.06447750865513882,44,0.041627246925260174,2
cereal,0.06391141897278403,45,0.04257332071901608,2
http-types,0.06306337651146642,46,0.043519394512771994,2
scientific,0.05796789757843486,47,0.04446546830652791,2
comonad,0.05685800119775323,48,0.04541154210028382,2
lifted-base,0.05667225455820159,49,0.046357615894039736,2
utf8-string,0.05524945145843268,50,0.04730368968779565,2
case-insensitive,0.0544184683927537,51,0.048249763481551564,2
data-default,0.04847738039029018,52,0.04919583727530748,2
mmorph,0.04748938867272267,53,0.050141911069063384,2
wai,0.04744252188210951,54,0.0510879848628193,2
void,0.04741067990312984,55,0.05203405865657521,2
distributive,0.04423345072471853,56,0.052980132450331126,2
HUnit,0.04417361463233418,57,0.05392620624408704,2
old-time,0.04411571505844972,58,0.05487228003784295,2
base64-bytestring,0.04393827392177039,59,0.05581835383159887,2
lens,0.04336507462537473,60,0.05676442762535478,2
system-filepath,0.04312373928997248,61,0.05771050141911069,2
cryptohash,0.04203066042312532,62,0.0586565752128666,2
contravariant,0.040875548962085534,63,0.059602649006622516,2
async,0.04069780504955525,64,0.06054872280037843,2
fay-base,0.04017354910029099,65,0.06149479659413434,2
conduit-extra,0.04007201273051774,66,0.06244087038789026,2
dlist,0.039557108501758476,67,0.06338694418164617,2
safe,0.03933649511684406,68,0.06433301797540208,2
http-client,0.038640885998365265,69,0.065279091769158,2
fay,0.03854537189664543,70,0.06622516556291391,2
nats,0.0382264341558958,71,0.06717123935666983,2
hxt,0.03549852308554688,72,0.06811731315042574,2
securemem,0.03466069127792278,73,0.06906338694418164,2
blaze-markup,0.03409744941582485,74,0.07000946073793755,2
network-uri,0.03374835757509123,75,0.07095553453169347,2
split,0.03303142765849399,76,0.07190160832544938,2
biocore,0.03205016994266772,77,0.0728476821192053,2
profunctors,0.03151750631439887,78,0.07379375591296121,2
ansi-terminal,0.03142325413099999,79,0.07473982970671712,2
pipes,0.031348042046010965,80,0.07568590350047304,2
extensible-exceptions,0.02998764141522167,81,0.07663197729422895,2
bifunctors,0.029282642044939945,82,0.07757805108798486,2
xml-conduit,0.02895450448311979,83,0.07852412488174078,2
zlib,0.02859317397645515,84,0.07947019867549669,2
haskell-src-exts,0.028590861104238034,85,0.0804162724692526,2
blaze-html,0.02841499102066563,86,0.08136234626300852,2
crypto-cipher-types,0.02821872318345331,87,0.08230842005676443,2
hmatrix,0.027976635421400723,88,0.08325449385052035,2
free,0.027873972498845424,89,0.08420056764427625,2
tasty,0.027699669211552168,90,0.08514664143803216,2
Cabal,0.02766954443175396,91,0.08609271523178808,2
crypto-api,0.02757297205824777,92,0.08703878902554399,2
vector-space,0.027509183063702015,93,0.0879848628192999,2
tf-random,0.027114412130230595,94,0.08893093661305582,2
asn1-types,0.02639687230716561,95,0.08987701040681173,2
yesod-core,0.026331318619342913,96,0.09082308420056764,2
hxt-charproperties,0.026029508658394474,97,0.09176915799432356,2
haskell-src-meta,0.025960801558410525,98,0.09271523178807947,2
hourglass,0.025490088268228857,99,0.09366130558183539,2
regex-posix,0.025108123857510763,100,0.0946073793755913,2
base-prelude,0.024758173014405232,101,0.09555345316934721,2
monad-logger,0.024546626978011327,102,0.09649952696310313,2
http-conduit,0.02447701670132903,103,0.09744560075685904,2
regex-base,0.024414281622628015,104,0.09839167455061495,2
parallel,0.02424314747243278,105,0.09933774834437085,2
entropy,0.02376867961946883,106,0.10028382213812677,2
shakespeare,0.023537803319780167,107,0.10122989593188268,2
cmdargs,0.02341494601821492,108,0.1021759697256386,2
stringable,0.022556556013005328,109,0.10312204351939451,2
cpphs,0.02254751234648806,110,0.10406811731315042,2
repa,0.022469286704435952,111,0.10501419110690634,2
data-accessor,0.022230067125596976,112,0.10596026490066225,2
optparse-applicative,0.022176646129765124,113,0.10690633869441817,2
persistent,0.02215407813019385,114,0.10785241248817408,2
asn1-encoding,0.022034117187693544,115,0.10879848628192999,2
base16-bytestring,0.021907286581866615,116,0.1097445600756859,2
streaming-commons,0.02187338921804957,117,0.11069063386944182,2
unix-compat,0.02139715135280262,118,0.11163670766319773,2
glib,0.021344326296378984,119,0.11258278145695365,2
newtype,0.020836419315913447,120,0.11352885525070956,2
warp,0.02077398956101723,121,0.11447492904446546,2
crypto-random,0.020761876903649692,122,0.11542100283822138,2
system-fileio,0.020509007125907027,123,0.11636707663197729,2
setenv,0.020034844765451885,124,0.1173131504257332,2
either,0.01987496799866266,125,0.11825922421948912,2
generic-deriving,0.019874359555405806,126,0.11920529801324503,2
markdown-unlit,0.019801949012226757,127,0.12015137180700095,2
StateVar,0.01972674348867542,128,0.12109744560075686,2
colour,0.019590132745584465,129,0.12204351939451277,2
tagsoup,0.019553784490135156,130,0.12298959318826869,2
